frase,label,prefijo,raiz,sufijo,apostrofe,persona,error
naa guuta,1,naa,guuta,ZERO,0,1sg,correto
lii guuta'lu,1,lii,guuta,lu,1,2sg,correto
laabe guuta'be,1,laabe,guuta,be,1,3sg,correto
laanu guuta'nu,1,laanu,guuta,nu,1,1pl_incl,correto
laadu guuta'du,1,laadu,guuta,du,1,1pl_exc,correto
laatu guuta'tu,1,laatu,guuta,tu,1,2pl,correto
naa gunaxhia,1,naa,gunaxhia,ZERO,0,1sg,correto
lii gunaxhii'lu,1,lii,gunaxhii,lu,1,2sg,correto
laabe gunaxhii'be,1,laabe,gunaxhii,be,1,3sg,correto
laanu gunaxhii'nu,1,laanu,gunaxhii,nu,1,1pl_incl,correto
laadu gunaxhii'du,1,laadu,gunaxhii,du,1,1pl_exc,correto
laatu gunaxhii'tu,1,laatu,gunaxhii,tu,1,2pl,correto
naa biziide,1,naa,biziide,ZERO,0,1sg,correto
lii biziidi'lu,1,lii,biziidi,lu,1,2sg,correto
laabe biziidi'be,1,laabe,biziidi,be,1,3sg,correto
laanu biziidi'nu,1,laanu,biziidi,nu,1,1pl_incl,correto
laadu biziidi'du,1,laadu,biziidi,du,1,1pl_exc,correto
laatu biziidi'tu,1,laatu,biziidi,tu,1,2pl,correto
naa guuze,1,naa,guuze,ZERO,0,1sg,correto
lii guuze'lu,1,lii,guuze,lu,1,2sg,correto
laabe guuze'be,1,laabe,guuze,be,1,3sg,correto
laanu guuze'nu,1,laanu,guuze,nu,1,1pl_incl,correto
laadu guuze'du,1,laadu,guuze,du,1,1pl_exc,correto
laatu guuze'tu,1,laatu,guuze,tu,1,2pl,correto
naa biinda,1,naa,biinda,ZERO,0,1sg,correto
lii biinda'lu,1,lii,biinda,lu,1,2sg,correto
laabe biinda'be,1,laabe,biinda,be,1,3sg,correto
laanu biinda'nu,1,laanu,biinda,nu,1,1pl_incl,correto
laadu biinda'du,1,laadu,biinda,du,1,1pl_exc,correto
laatu biinda'tu,1,laatu,biinda,tu,1,2pl,correto
naa guziá,1,naa,guziá,ZERO,0,1sg,correto
lii guzi'lu,1,lii,guzi,lu,1,2sg,correto
laabe guzi'be,1,laabe,guzi,be,1,3sg,correto
laanu guzi'nu,1,laanu,guzi,nu,1,1pl_incl,correto
laadu guzi'du,1,laadu,guzi,du,1,1pl_exc,correto
laatu guzi'tu,1,laatu,guzi,tu,1,2pl,correto
naa binebiá,1,naa,binebiá,ZERO,0,1sg,correto
lii binibiá'lu,1,lii,binibiá,lu,1,2sg,correto
laabe binibia'be,1,laabe,binibia,be,1,3sg,correto
laanu binibiá'nu,1,laanu,binibiá,nu,1,1pl_incl,correto
laadu binibiá'du,1,laadu,binibiá,du,1,1pl_exc,correto
laatu binibiá'tu,1,laatu,binibiá,tu,1,2pl,correto
naa bixoñe,1,naa,bixoñe,ZERO,0,1sg,correto
lii bixoñe'lu,1,lii,bixoñe,lu,1,2sg,correto
laabe bixoñe'be,1,laabe,bixoñe,be,1,3sg,correto
laanu bixoñe'nu,1,laanu,bixoñe,nu,1,1pl_incl,correto
laadu bixoñe'du,1,laadu,bixoñe,du,1,1pl_exc,correto
laatu bixoñe'tu,1,laatu,bixoñe,tu,1,2pl,correto
naa bigaya,1,naa,bigaya,ZERO,0,1sg,correto
lii biga'lu,1,lii,biga,lu,1,2sg,correto
laabe biga'be,1,laabe,biga,be,1,3sg,correto
laanu biga'nu,1,laanu,biga,nu,1,1pl_incl,correto
laadu biga'du,1,laadu,biga,du,1,1pl_exc,correto
laatu biga'tu,1,laatu,biga,tu,1,2pl,correto
naa bidiá,1,naa,bidiá,ZERO,0,1sg,correto
lii bidi'lu,1,lii,bidi,lu,1,2sg,correto
laabe bidi'be,1,laabe,bidi,be,1,3sg,correto
laanu bidi'nu,1,laanu,bidi,nu,1,1pl_incl,correto
laadu bidi'du,1,laadu,bidi,du,1,1pl_exc,correto
laatu bidi'tu,1,laatu,bidi,tu,1,2pl,correto
naa gudxe,1,naa,gudxe,ZERO,0,1sg,correto
lii gudxi'lu,1,lii,gudxi,lu,1,2sg,correto
laabe gudxi'be,1,laabe,gudxi,be,1,3sg,correto
laanu gudxi'nu,1,laanu,gudxi,nu,1,1pl_incl,correto
laadu gudxi'du,1,laadu,gudxi,du,1,1pl_exc,correto
laatu gudxi'tu,1,laatu,gudxi,tu,1,2pl,correto
naa bisana,1,naa,bisana,ZERO,0,1sg,correto
lii bisana'lu,1,lii,bisana,lu,1,2sg,correto
laabe bisana'be,1,laabe,bisana,be,1,3sg,correto
laanu bisana'nu,1,laanu,bisana,nu,1,1pl_incl,correto
laadu bisana'du,1,laadu,bisana,du,1,1pl_exc,correto
laatu bisana'tu,1,laatu,bisana,tu,1,2pl,correto
naa guse,1,naa,guse,ZERO,0,1sg,correto
lii gusi'lu,1,lii,gusi,lu,1,2sg,correto
laabe gusi'be,1,laabe,gusi,be,1,3sg,correto
laanu gusi'nu,1,laanu,gusi,nu,1,1pl_incl,correto
laadu gusi'du,1,laadu,gusi,du,1,1pl_exc,correto
laatu gusi'tu,1,laatu,gusi,tu,1,2pl,correto
naa guliá,1,naa,guliá,ZERO,0,1sg,correto
lii guli'lu,1,lii,guli,lu,1,2sg,correto
laabe guli'be,1,laabe,guli,be,1,3sg,correto
laanu guli'nu,1,laanu,guli,nu,1,1pl_incl,correto
laadu guli'du,1,laadu,guli,du,1,1pl_exc,correto
laatu guli'tu,1,laatu,guli,tu,1,2pl,correto
naa bizuloá,1,naa,bizuloá,ZERO,0,1sg,correto
lii bizulo'lu,1,lii,bizulo,lu,1,2sg,correto
