Indice,Frase,Valor label
855,laanu guye'du,0
851,laatu bini,0
487,lii biziidilu,0
791,laatu bidxela,0
975,laanu guri'du,0
767,laatu bisana,0
509,laatu guyetu,0
714,naa guuze'lu,0
478,laadu biinadu,0
391,lii bixoñelu,0
889,lii bisaa,0
160,laadu guye'du,1
742,laadu bixoñe'nu,0
662,laabe bendanebe,0
708,naa biziide'lu,0
713,laatu biziidi,0
382,laadu guzidu,0
833,laatu guleeza,0
24,naa biinda,1
385,lii binibiálu,0
432,naa bizuloá,1
973,lii guri,0
517,lii bindalu,0
455,laatu bissiditu,0
530,laabe yendaabe,0
393,laanu bixoñenu,0
152,laabe bini'be,1
968,laabe bire'lu,0
235,lii bica'lu,1
418,laadu bisanadu,0
783,laanu bizulo'du,0
90,naa bidxela,1
404,laabe bidibe,0
440,laabe bidxelabe,0
360,naa biziide,1
323,laatu biquine'tu,1
389,laatu binibiátu,0
940,laadu guni ique'nu,0
536,laabe yenebe,0
901,lii bixoba,0
653,laatu huetu,0
497,laatu gunitu,0
658,laadu bini dxiiñadu,0
111,laanu bioa'nu,1
371,laatu guuzetu,0
527,laatu bisiatu,0
784,laadu bizulo'nu,0
94,laadu bidxela'du,1
1020,naa biá'lu,0
442,laadu bidxeladu,0
655,lii bini dxiiñalu,0
969,laanu bire'du,0
103,lii bissidi'lu,1
711,laanu biziidi'du,0
528,naa yendaaya,1
782,laabe bizuló'lu,0
444,naa guca huaraya,1
106,laadu bissidi'du,1
923,laatu gudiidi,0
1021,lii bia,0
837,laanu biziidi'du,0
47,laatu bixoñe'tu,1
267,laanu gunna'nu,1
296,laabe gupa'be,1
776,laabe guli'lu,0
628,laadu bisiandadu,0
897,laanu biyadxi'du,0
737,laatu binibiá,0
319,lii biquine'lu,1
981,laanu guye'du,0
759,laanu gudxi'du,0
553,lii bixobalu,0
473,laatu bicaatu,0
500,laabe binibe,0
595,lii biuilu diidxa,0
97,lii guca huara'lu,1
605,laatu gudxhetu,0
564,naa bisugaa,1
467,laatu bisendatu,0
645,laanu gupanu,0
620,laabe birebe,0
80,laabe guli'be,1
965,laatu gunna,0
1040,laabe guleza'lu,0
529,lii yendaalu,0
948,naa gudxhe'lu,0
847,lii bini,0
792,naa guca huaraya'lu,0
930,naa bicá'lu,0
745,lii biga,0
458,laabe bioabe,0
231,laanu gunaba'nu,1
137,laatu guleeza'tu,1
845,laatu guni,0
729,laanu guzi'du,0
1022,laabe biá'lu,0
162,naa gudxite,1
957,laanu bitine'du,0
756,naa gudxe'lu,0
611,laatu bitinetu,0
452,laabe bissidibe,0
412,laadu gudxidu,0
132,naa guleeza,1
251,laatu biui'tu diidxa,1
486,naa biziide,1
687,laanu gulezanu,0
785,laatu bizulo,0
648,naa hueá,1
917,laatu bisugaa,0
277,lii bisianda'lu,1
348,naa guuta,1
521,laatu bindatu,0
438,naa bidxela,1
1023,laanu bidúya'du,0
1030,laadu yeganna'nu,0
186,naa yeneá,1
1004,laabe bini dxiiña'lu,0
603,laanu gudxhenu,0
16,laadu biziidi'du,1
325,lii biá'lu,1
761,laatu gudxi,0
576,naa gunaba,1
1035,laanu guleza'du,0
886,laadu yune'nu,0
927,laanu gunaba'du,0
636,naa gudxiba,1
114,naa bisenda,1
709,lii biziidi,0
572,laabe gudiidibe,0
1016,laabe biquine'lu,0
233,laatu gunaba'tu,1
716,laabe guuze'lu,0
188,laabe yene'be,1
748,laadu biga'nu,0
85,lii bizulo'lu,1
842,laabe guni'lu,0
365,laatu biziiditu,0
456,naa bioá,1
0,naa guuta,1
298,laadu gupa'du,1
74,laabe gusi'be,1
880,laadu yendao'nu,0
91,lii bidxela'lu,1
924,naa gunaba'lu,0
79,lii guli'lu,1
308,laabe bini dxiiña'be,1
905,laatu bixoba,0
696,naa guuta'lu,0
230,laabe gunaba'be,1
985,lii gudxiba,0
766,laadu bisana'nu,0
815,laatu bisenda,0
584,laabe bicabe,0
786,naa bidxela'lu,0
1013,laatu bendane,0
143,laatu biziidi'tu,1
392,laabe bixoñebe,0
1008,naa bedaneá'lu,0
646,laadu gupadu,0
1007,laatu bini dxiiña,0
913,lii bisugaa,0
608,laabe bitinebe,0
269,laatu gunna'tu,1
945,laanu biui'du diidxa,0
515,laatu gudxitetu,0
1037,laatu guleza,0
373,lii biindalu,0
30,naa guziá,1
70,laadu bisana'du,1
544,laadu bisaadu,0
819,laanu bicaa'du,0
697,lii guuta,0
949,lii gudxhe,0
464,laabe bisendabe,0
352,laadu guutadu,0
104,laabe bissidi'be,1
241,lii guni ique'lu,1
364,laadu biziididu,0
835,lii biziidi,0
548,laabe biyadxibe,0
133,lii guleeza'lu,1
52,laadu biga'du,1
666,naa biquiñe,1
702,naa gunaxhia'lu,0
876,naa yendaaya'lu,0
907,lii bisianda,0
76,laadu gusi'du,1
112,laadu bioa'du,1
680,laabe yegannabe,0
778,laadu guli'nu,0
731,laatu guzi,0
589,lii guni iquelu,0
526,laadu bisiadu,0
673,lii biálu,0
168,naa binda,1
493,lii gunilu,0
753,laanu bidi'du,0
552,naa bixoba,1
196,laadu bisaa'du,1
272,laabe bire'be,1
266,laabe gunna'be,1
587,laatu bicatu,0
814,laadu bisenda'nu,0
172,laadu binda'du,1
565,lii bisugaalu,0
381,laanu guzinu,0
73,lii gusi'lu,1
246,naa biui diidxa,1
506,laabe guyebe,0
816,naa bicáa'lu,0
494,laabe gunibe,0
946,laadu biui'nu diidxa,0
769,lii gusi,0
834,naa biziide'lu,0
273,laanu bire'nu,1
50,laabe biga'be,1
213,laanu bisianda'nu,1
1028,laabe yeganna'lu,0
1005,laanu bini dxiiña'du,0
88,laadu bizulo'du,1
830,laabe guleeza'lu,0
660,naa bedaneá,1
828,naa guleeza'lu,0
489,laanu biziidinu,0
350,laabe guutabe,0
912,naa bisugaa'lu,0
214,laadu bisianda'du,1
894,naa biyadxiá'lu,0
276,naa bisianda,1
396,naa bigaya,1
305,laatu hue'tu,1
573,laanu gudiidinu,0
627,laanu bisiandanu,0
210,naa bisianda,1
591,laanu guni iquenu,0
1011,laanu bendane'du,0
185,laatu yendao'tu,1
956,laabe bitine'lu,0
951,laanu gudxhe'du,0
915,laanu bisugaa'du,0
10,laadu gunaxhii'du,1
717,laanu guuze'du,0
899,laatu biyadxi,0
920,laabe gudiidi'lu,0
170,laabe binda'be,1
341,laatu guleza'tu,1
504,naa guyá,1
217,lii bisugaa'lu,1
749,laatu biga,0
190,laadu yune'du,1
445,lii guca huaralu,0
376,laadu biindadu,0
417,laanu bisananu,0
868,laadu binda'nu,0
821,laatu bicaa,0
141,laanu biziidi'nu,1
252,naa gudxhe,1
681,laanu yegannanu,0
931,lii bica,0
744,naa bigaya'lu,0
465,laanu bisendanu,0
887,laatu yune,0
774,naa guliá'lu,0
318,naa biquiñe,1
609,laanu bitinenu,0
813,laanu bisenda'du,0
34,laadu guzi'du,1
54,naa bidiá,1
557,laatu bixobatu,0
858,naa gudxite'lu,0
826,laadu biina'nu,0
677,laatu bidúyatu,0
7,lii gunaxhii'lu,1
257,laatu gudxhe'tu,1
524,laabe bisiabe,0
173,laatu binda'tu,1
240,naa guni ique,1
616,laadu gunnadu,0
283,lii guye'lu,1
383,laatu guzitu,0
216,naa bisugaa,1
728,laabe guzi'lu,0
69,laanu bisana'nu,1
374,laabe biindabe,0
356,laabe gunaxhiibe,0
313,lii bendane'lu,1
593,laatu guni iquetu,0
12,naa biziide,1
406,laadu bididu,0
928,laadu gunaba'nu,0
525,laanu bisianu,0
939,laanu guni ique'du,0
495,laanu guninu,0
174,naa bisiaya,1
384,naa binebiá,1
314,laabe bendane'be,1
723,laanu biinda'du,0
175,lii bisia'lu,1
49,lii biga'lu,1
852,naa guyá'lu,0
307,lii bini dxiiña'lu,1
145,lii guni'lu,1
71,laatu bisana'tu,1
806,laabe bioa'lu,0
796,laadu guca huara'nu,0
832,laadu guleeza'nu,0
253,lii gudxhe'lu,1
480,naa guleeza,1
483,laanu guleezanu,0
736,laadu binibiá'nu,0
39,laanu binibiá'nu,1
688,laadu gulezadu,0
707,laatu gunaxhii,0
781,lii bizulo,0
600,naa gudxhe,1
127,lii biina'lu,1
498,naa bine,1
278,laabe bisianda'be,1
575,laatu gudiiditu,0
690,naa ubigueta,1
23,laatu guuze'tu,1
